;title;author;pub_house;price;link
0;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1381;/books/943759/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1978;/books/924645/
2;Яма;Акунин Борис;АСТ;1005;/books/944277/
3;Злодейский путь!.. Том 1 и 2;Моргот Эл;Манн, Иванов и Фербер;1153;/books/917405/
4;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;1057;/books/952513/
5;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;5914;/books/795058/
6;Японские легенды. Оборотень Кицунэ, ведьма Такияша, слово самурая, заклинания, месть и любовь;Тонани Лоренца;Манн, Иванов и Фербер;940;/books/936077/
7;Царство Страха;Манискалко Керри;АСТ;847;/books/945076/
8;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
9;Карьера Ругонов. Его превосходительство Эжен Ругон. Добыча;Золя Эмиль;Иностранка;1007;/books/951974/
10;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
11;Пожиратель душ. Об ангелах, демонах и потусторонних кошмарах;Каттнер Генри;Азбука;1057;/books/951757/
12;Разрушительная любовь;Хуан Ана;Inspiria;518;/books/940350/
13;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
14;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;616;/books/946581/
15;Последний гамбит;Барнс Дженнифер Линн;Like Book;690;/books/945470/
16;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
17;Уничтожить;Уэльбек Мишель;Corpus;1194;/books/952605/
18;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;940;/books/934349/
19;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
20;Шестерка воронов;Бардуго Ли;АСТ;1083;/books/927035/
21;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2739;/books/900778/
22;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
23;Скрытые намерения;Омер Майк;Inspiria;690;/books/944729/
24;Шепчущие никелевые идолы. Жестокие цинковые мелодии;Кук Глен;Азбука;963;/books/951756/
25;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
26;Только попробуй уйти;Лавринович Ася;Like Book;564;/books/948301/
27;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;1088;/books/859383/
28;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
29;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
30;Дом Кёко;Мисима Юкио;Иностранка;586;/books/948324/
31;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;624;/books/946837/
32;Последняя из рода Мун. Семь свистунов. Неистовый гон;Фуллер Ирина;Эксмо;856;/books/951829/
33;Я отвечаю за все;Герман Юрий Павлович;Азбука;965;/books/951806/
34;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
35;Орда встречного ветра;Дамазио Ален;АСТ;1699;/books/951809/
36;Тираны и мстители;Сандерсон Брендон;Азбука;1108;/books/954722/
37;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
38;Последний выпуск;Новик Наоми;Эксмо;738;/books/944278/
39;Мальчики из Фоллз;Дуглас Пенелопа;АСТ;635;/books/945070/
40;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6948;/books/604732/
41;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1526;/books/914171/
42;Проклятые короли. Лилия и лев. Когда король губит Францию;Дрюон Морис;Иностранка;965;/books/954715/
43;Последний день лета;Подшибякин Андрей Михайлович;Редакция Елены Шубиной;902;/books/947231/
44;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;834;/books/940186/
45;Пропавшие наши сердца;Инг Селеста;Фантом Пресс;697;/books/949226/
46;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1924;/books/877234/
47;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
48;Прыжок;Лукьяненко Сергей Васильевич;АСТ;774;/books/935626/
49;Гипотеза любви;Хейзелвуд Али;Манн, Иванов и Фербер;739;/books/842232/
50;Испытание;Вульф Трейси;Like Book;1001;/books/938051/
51;Хоббит, или Туда и обратно;Толкин Джон Рональд Руэл;АСТ;1304;/books/701977/
52;Галерея женщин. Цепи счастья;Драйзер Теодор;Иностранка;855;/books/950196/
53;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;586;/books/948268/
54;Зимний сад;Ханна Кристин;Фантом Пресс;733;/books/935674/
55;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
56;Магазинчик времени;Ким Сонён;Манн, Иванов и Фербер;338;/books/927095/
57;Чагин;Водолазкин Евгений Германович;Редакция Елены Шубиной;986;/books/882285/
58;Меч в ножнах из дикой сливы;Ласкина, Змеева;Манн, Иванов и Фербер;988;/books/942590/
59;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;1855;/books/652646/
60;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
61;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
62;Во власти Дубовой Короны;Гончарова Галина Дмитриевна;АСТ;533;/books/952840/
63;Достойный жених. Книга 1;Сет Викрам;Иностранка;1057;/books/952150/
64;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
65;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
66;Солнце и Замок;Вулф Джин;fanzon;1455;/books/946752/
67;Коко;Страуб Питер;АСТ;1356;/books/949277/
68;Лорна Дун;Блэкмор Ричард Додридж;Вече;593;/books/952209/
69;Не злите добрую колдунью!;Ефиминюк Марина Владимировна;Эксмо;657;/books/944318/
70;Ромео и Джульетта;Шекспир Уильям;Аркадия;593;/books/810907/
71;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;5781;/books/614556/
72;В поисках утраченного времени. В 2-х томах. Т.1. В сторону Свана. Под сенью девушек в цвету. Германт;Пруст Марсель;Альфа-книга;2376;/books/199745/
73;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;99;/books/285728/
74;Венская рапсодия;Дростен Юлия;Аркадия;576;/books/869221/
75;Черная стрела;Стивенсон Роберт Льюис;Издательский дом Мещерякова;631;/books/564503/
76;Чародейка на всю голову;Мамаева Надежда Николаевна;Т8;1295;/books/954823/
77;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
78;Сын Зевса. В глуби веков. Герой Саламина;Воронкова Любовь Федоровна;Азбука;1057;/books/948194/
79;Джек из Тени. Полное издание;Желязны Роджер;Эксмо;1911;/books/932882/
80;Тайная история;Тартт Донна;Corpus;1135;/books/466703/
81;Серебряный змей в корнях сосны;Наумова, Дубинина;NoSugar Books;513;/books/947059/
82;ПоэZия русского лета;Артис, Ватутина, Бергин;Эксмо;2178;/books/943011/
83;Присягнувшая Черепу;Стейвли Брайан;Азбука;880;/books/948267/
84;Повесть о жизни;Паустовский Константин Георгиевич;Азбука;1302;/books/914162/
85;История рыжего демона;Шекли, Желязны;АСТ;1407;/books/952399/
86;Тачдаун;Рэйн Сола;АСТ;533;/books/947190/
87;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;651;/books/930322/
88;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
89;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;724;/books/949456/
90;Глория. Трон одного мертвеца;Жильцова Наталья Сергеевна;Т8;1197;/books/947554/
91;Сигареты;Мэтьюз Хэрри;Фантом Пресс;721;/books/951356/
92;Стыд;Рушди Салман;Corpus;902;/books/955728/
93;Профайлер;Ми Лэй;Inspiria;662;/books/935861/
94;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;932;/books/943722/
95;В поисках утраченного времени. В 2-х т. Т. 2. Содом и Гоморра. Пленница. Беглянка. Обретенное время;Пруст Марсель;Альфа-книга;2376;/books/199746/
96;Луна над Сохо;Ааронович Бен;fanzon;738;/books/944343/
97;Славянские мифы. От Велеса и Мокоши до птицы Сирин и Ивана Купалы;Баркова Александра Леонидовна;Манн, Иванов и Фербер;1034;/books/825915/
98;Сорок пять;Дюма Александр;Иностранка;855;/books/951758/
99;Брокен-Харбор;Френч Тана;Фантом Пресс;746;/books/943224/
100;Реки Лондона;Ааронович Бен;fanzon;890;/books/932879/
101;Первый урок Шоломанчи;Новик Наоми;Эксмо;890;/books/927157/
102;Полное собрание произведений о Шерлоке Холмсе в одном томе;Дойл Артур Конан;Альфа-книга;1061;/books/149372/
103;Титус один. Книга 3;Пик Мервин;Livebook;2400;/books/851749/
104;Горменгаст. Книга 2;Пик Мервин;Livebook;2880;/books/851748/
105;Мекленбургский дьявол;Оченков, Перунов;Альфа-книга;728;/books/920595/
106;Борнвилл;Коу Джонатан;Фантом Пресс;746;/books/951355/
107;Задача трех тел;Лю Цысинь;Fanzon;932;/books/610958/
108;Сломай меня;Брэнди Меган;Inspiria;756;/books/947442/
109;Пара из дома номер 9;Дуглас Клэр;Эксмо;662;/books/938723/
110;Хозяйка Шварцвальда;Харт Уна;Inspiria;787;/books/942467/
111;Продажное королевство;Бардуго Ли;АСТ;669;/books/639917/
112;Лихо. Медь и мёд;Лехчина Яна;Эксмо;832;/books/935883/
113;Тарас Бульба;Гоголь Николай Васильевич;Речь;922;/books/628288/
114;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1728;/books/819014/
115;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
116;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1581;/books/907734/
117;"Японские мифы. От кицунэ и ёкаев до ""Звонка"" и ""Наруто""";Фридман Джошуа;Манн, Иванов и Фербер;899;/books/860378/
118;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
