;title;author;pub_house;price;link
0;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;2142;/books/924645/
1;Цветок яблони;Пехов Алексей Юрьевич;Альфа-книга;515;/books/960702/
2;Троецарствие;Ло Гуань-чжун;Иностранка;1215;/books/959606/
3;Яма;Акунин Борис;АСТ;986;/books/944277/
4;Малазанская книга павших. Книга 3. Память льда;Эриксон Стивен;Азбука;833;/books/959332/
5;Гордость и предубеждение;Остен Джейн;Качели;1277;/books/852771/
6;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;1546;/books/652646/
7;Пепел Нетесаного трона. Книга 1. На руинах империи;Стейвли Брайан;Азбука;690;/books/960652/
8;Достойный жених. Книга 1;Сет Викрам;Иностранка;1057;/books/952150/
9;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;704;/books/851615/
10;Оружейный остров;Гош Амитав;Фантом Пресс;721;/books/956570/
11;Скажи пчелам, что меня больше нет;Гэблдон Диана;Эксмо;1316;/books/957409/
12;Русь изначальная;Иванов Валентин Дмитриевич;Азбука;963;/books/958003/
13;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;6406;/books/795058/
14;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1008;/books/943759/
15;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1526;/books/914171/
16;Борнвилл;Коу Джонатан;Фантом Пресс;746;/books/951355/
17;Артур Рэйш. Когда темные боги шутят. Охотник за душами;Лисина Александра;АСТ;600;/books/958262/
18;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;724;/books/952513/
19;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1628;/books/877234/
20;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
21;Потерянные боги;Бром;АСТ;707;/books/609946/
22;Шестерка воронов;Бардуго Ли;АСТ;742;/books/927035/
23;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;541;/books/946837/
24;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
25;Жестокий век;Калашников Исай Калистратович;Азбука;963;/books/956602/
26;Доблестная шпага месье де ла Герша;Ашар Амеде;Вече;642;/books/957966/
27;Зимний сад;Ханна Кристин;Фантом Пресс;733;/books/935674/
28;На гребне обстоятельств;Шелег Дмитрий Витальевич;Альфа-книга;408;/books/946836/
29;Достойный жених. Книга 2;Сет Викрам;Иностранка;1057;/books/958346/
30;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6948;/books/604732/
31;"Отель ""Манифик""";Тейлор Эмили Дж.;Like Book;380;/books/942463/
32;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
33;Японские легенды. Оборотень Кицунэ, ведьма Такияша, слово самурая, заклинания, месть и любовь;Тонани Лоренца;Манн, Иванов и Фербер;940;/books/936077/
34;Проклятые короли. Лилия и лев. Когда король губит Францию;Дрюон Морис;Иностранка;965;/books/954715/
35;Ветер и крылья. Развязанные узлы;Гончарова Галина Дмитриевна;Эксмо;341;/books/952866/
