;title;author;pub_house;price;link
0;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1381;/books/943759/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;2142;/books/924645/
2;Злодейский путь!.. Том 1 и 2;Моргот Эл;Манн, Иванов и Фербер;1153;/books/917405/
3;Яма;Акунин Борис;АСТ;986;/books/944277/
4;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;5421;/books/795058/
5;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;1057;/books/952513/
6;Японские легенды. Оборотень Кицунэ, ведьма Такияша, слово самурая, заклинания, месть и любовь;Тонани Лоренца;Манн, Иванов и Фербер;940;/books/936077/
7;Уничтожить;Уэльбек Мишель;Corpus;1352;/books/952605/
8;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
9;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
10;Карьера Ругонов. Его превосходительство Эжен Ругон. Добыча;Золя Эмиль;Иностранка;1007;/books/951974/
11;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;728;/books/946837/
12;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
13;Последний гамбит;Барнс Дженнифер Линн;Like Book;690;/books/945470/
14;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6948;/books/604732/
15;Тираны и мстители;Сандерсон Брендон;Азбука;1108;/books/954722/
16;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
17;Проклятые короли. Лилия и лев. Когда король губит Францию;Дрюон Морис;Иностранка;661;/books/954715/
18;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;1855;/books/652646/
19;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;684;/books/946581/
20;Мальчики из Фоллз;Дуглас Пенелопа;АСТ;706;/books/945070/
21;Разрушительная любовь;Хуан Ана;Inspiria;518;/books/940350/
22;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
23;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
24;Пожиратель душ. Об ангелах, демонах и потусторонних кошмарах;Каттнер Генри;Азбука;1057;/books/951757/
25;Последний день лета;Подшибякин Андрей Михайлович;Редакция Елены Шубиной;902;/books/947231/
26;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
27;Шестерка воронов;Бардуго Ли;АСТ;1083;/books/927035/
28;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1776;/books/877234/
29;Во власти Дубовой Короны;Гончарова Галина Дмитриевна;АСТ;533;/books/952840/
30;Только попробуй уйти;Лавринович Ася;Like Book;566;/books/948301/
31;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1526;/books/914171/
32;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;745;/books/859383/
33;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2739;/books/900778/
34;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
35;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;834;/books/921433/
36;Скрытые намерения;Омер Майк;Inspiria;690;/books/944729/
