;title;author;pub_house;price;link
0;Яма;Акунин Борис;АСТ;1117;/books/944277/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1813;/books/924645/
2;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
3;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
4;Дети полуночи;Рушди Салман;Corpus;1194;/books/940801/
5;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
6;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
7;Шестерка воронов;Бардуго Ли;АСТ;1227;/books/927035/
8;Пятнадцатилетний капитан;Верн Жюль;Альфа-книга;134;/books/391041/
9;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;4730;/books/614556/
10;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;4928;/books/795058/
11;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
12;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
13;Испытание;Вульф Трейси;Like Book;807;/books/938051/
14;Архивы Дрездена. История призрака. Холодные дни;Батчер Джим;Азбука;1057;/books/944938/
15;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
16;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;855;/books/948268/
17;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;74;/books/285728/
18;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
19;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
20;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
21;Исповедь моего сердца;Оутс Джойс Кэрол;Текст;266;/books/746139/
22;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6253;/books/604732/
23;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
24;Первый урок Шоломанчи;Новик Наоми;Эксмо;738;/books/927157/
25;Семь престолов;Струкул Маттео;Аркадия;295;/books/785222/
26;Венская рапсодия;Дростен Юлия;Аркадия;480;/books/869221/
27;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;875;/books/943925/
28;Тринадцать;Кавана Стив;Inspiria;583;/books/934637/
29;Баллада о змеях и певчих птицах;Коллинз Сьюзен;АСТ;577;/books/757906/
30;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1924;/books/877234/
31;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
32;Присягнувшая Черепу;Стейвли Брайан;Азбука;880;/books/948267/
33;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
34;Восстание Персеполиса. Гнев Тиамат. Оберон;Кори Джеймс;Фантастика;1391;/books/944194/
35;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;838;/books/943722/
36;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
37;Университет Специальных Чар. Пощады, маэстрина!;Завойчинская Милена Валерьевна;Эксмо;545;/books/936521/
38;Исповедь демонолога;Сакрытина Мария Николаевна;Freedom;607;/books/940110/
39;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
40;Луна над Сохо;Ааронович Бен;fanzon;711;/books/944343/
41;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
42;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
43;Крест и крыло;Гончарова Галина Дмитриевна;АСТ;558;/books/944427/
44;Ведьмы Тихого ручья. Колдовской сезон;Дейд Айла;Freedom;667;/books/940139/
45;Кенилворт. Том 1;Скотт Вальтер;Вече;1087;/books/943252/
46;Истинный князь;Шелег Дмитрий Витальевич;Альфа-книга;515;/books/903773/
47;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
48;До февраля;Идиатуллин Шамиль Шаукатович;Редакция Елены Шубиной;902;/books/940800/
49;Анна Каренина. В 2-х томах;Толстой Лев Николаевич;Время;295;/books/575010/
50;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1584;/books/819014/
51;Прыжок;Лукьяненко Сергей Васильевич;АСТ;860;/books/935626/
52;Трое из академии. Трое в долине;Лисина Александра;АСТ;513;/books/948206/
53;Базар гоблинов и другие стихи;Россетти Кристина Джорджина;Октопус;509;/books/717987/
