;title;author;pub_house;price;link
73;Принц Ардена;Анри Софи;Freedom;607;/books/934417/
74;Эсав;Шалев Меир;Текст;266;/books/773038/
75;Год порно;Мамаев-Найлз Илья;Поляндрия  No Age;662;/books/939632/
76;Звёздные войны. Расцвет Республики. Тропа обмана;Айрлэнд, Греттон;fanzon;650;/books/945883/
77;Базар гоблинов и другие стихи;Россетти Кристина Джорджина;Октопус;509;/books/717987/
78;Мойры сплели свои нити;Степанова Татьяна Юрьевна;Эксмо;545;/books/945888/
79;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;692;/books/921398/
80;Реки Лондона;Ааронович Бен;fanzon;650;/books/932879/
81;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1459;/books/907734/
82;Алая аура протопарторга. Абсолютно правдивые истории о кудесниках, магах и нечисти;Лукин Евгений Юрьевич;Азбука;1057;/books/948196/
83;Вторая жизнь Уве;Бакман Фредрик;Синдбад;632;/books/835733/
84;Крест и крыло;Гончарова Галина Дмитриевна;АСТ;558;/books/944427/
85;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1728;/books/819014/
86;Обитель;Прилепин Захар;Редакция Елены Шубиной;1304;/books/434874/
87;Пламенный Клинок;Вудинг Крис;Аркадия;590;/books/778937/
88;Истинный князь;Шелег Дмитрий Витальевич;Альфа-книга;515;/books/903773/
89;Берега. Роман о семействе Дюморье;Дюморье Дафна;Азбука;641;/books/945132/
90;Звёздные войны. Расцвет Республики. Павшая звезда;Грей Клаудия;fanzon;650;/books/944716/
91;Гипотеза любви;Хейзелвуд Али;Манн, Иванов и Фербер;692;/books/842232/
92;Черная стрела;Стивенсон Роберт Льюис;Издательский дом Мещерякова;473;/books/564503/
93;Улыбнись мне, Артур Эдинброг;Крейн Антонина;Эксмо;690;/books/926340/
94;Жизнь Дэвида Копперфилда, рассказанная им самим. В 2-х томах;Диккенс Чарльз;Речь;1846;/books/635826/
95;Идиот;Достоевский Федор Михайлович;Время;185;/books/569489/
96;Улица Ручей. Том 1. Накануне;Линде Юлия Владимировна;Пять четвертей;1603;/books/792393/
97;Пятый Дракон;Арден Лия;Эксмо;690;/books/934568/
98;В поисках утраченного времени. В 2-х т. Т. 2. Содом и Гоморра. Пленница. Беглянка. Обретенное время;Пруст Марсель;Альфа-книга;2592;/books/199746/
99;Тень евнуха;Кабре Жауме;Иностранка;855;/books/948192/
100;Посмертные записки Пиквикского клуба. В 2-х томах;Диккенс Чарльз;Речь;1846;/books/631687/
101;Миндаль;Сон Вон Пхён;Поляндрия  No Age;701;/books/870765/
102;Ложится мгла на старые ступени;Чудаков Александр Павлович;Азбука;729;/books/924350/
103;Избранные произведения;Куприн Александр Иванович;Речь;930;/books/616506/
104;Особое положение;Вудворт, Васина;АСТ;513;/books/947169/
105;Мерзкая семерка;Джонстон Кэмерон;fanzon;607;/books/935878/
106;Славянские мифы. От Велеса и Мокоши до птицы Сирин и Ивана Купалы;Баркова Александра Леонидовна;Манн, Иванов и Фербер;1034;/books/825915/
107;Тимьян и клевер;Ролдугина Софья Валерьевна;Т8;2028;/books/843614/
108;Тачдаун;Рэйн Сола;АСТ;533;/books/947190/
109;Убить королеву;Бекер Вирджиния;Аркадия;211;/books/768331/
110;Уснут не все;Нэвилл Адам;АСТ;623;/books/949167/
111;Титус один. Книга 3;Пик Мервин;Livebook;2400;/books/851749/
112;Горменгаст. Книга 2;Пик Мервин;Livebook;4800;/books/851748/
113;Коко;Страуб Питер;АСТ;1356;/books/949277/
114;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;1088;/books/859383/
115;Всадник без головы;Майн Рид Томас;Верже;3194;/books/654917/
116;Ужас Данвича;Лавкрафт Говард Филлипс;Азбука;1394;/books/941247/
117;Дон Кавелли и папский престол;Конти Дэвид;Аркадия;566;/books/869228/
118;Стальные боги;Ахтар Замиль;fanzon;539;/books/937918/
119;Чагин;Водолазкин Евгений Германович;Редакция Елены Шубиной;986;/books/882285/
120;Молль Флендерс;Дефо Даниель;Текст;149;/books/799163/
121;Дети капитана Гранта;Верн Жюль;Альфа-книга;293;/books/322414/
122;Лихо. Медь и мёд;Лехчина Яна;Эксмо;607;/books/935883/
123;Мастер и Маргарита. Коллекционное иллюстрированное издание;Булгаков Михаил Афанасьевич;Алгоритм;2060;/books/562263/
124;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1526;/books/914171/
125;Собачья смерть;Акунин-Чхартишвили;Захаров;892;/books/923362/
126;Зверобой;Купер Джеймс Фенимор;Лабиринт;1520;/books/849542/
127;Кровавая свадьба;Гарсиа Лорка Федерико;Текст;178;/books/764692/
128;Повесть о настоящем человеке;Полевой Борис Николаевич;Речь;1505;/books/627446/
129;Момент истины. В августе сорок четвертого…;Богомолов Владимир Осипович;Речь;968;/books/640591/
