;title;author;pub_house;price;link
0;Яма;Акунин Борис;АСТ;1005;/books/944277/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1978;/books/924645/
2;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
3;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
4;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
5;Спартак;Джованьоли Рафаэлло;Речь;2385;/books/717084/
6;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;5781;/books/614556/
7;Шестерка воронов;Бардуго Ли;АСТ;1227;/books/927035/
8;Пятнадцатилетний капитан;Верн Жюль;Альфа-книга;134;/books/391041/
9;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;715;/books/940186/
10;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
11;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
12;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
13;Испытание;Вульф Трейси;Like Book;807;/books/938051/
14;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;604;/books/946581/
15;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
16;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
17;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;6406;/books/795058/
18;Исповедь демонолога;Сакрытина Мария Николаевна;Freedom;607;/books/940110/
19;Ведьмы Тихого ручья. Колдовской сезон;Дейд Айла;Freedom;667;/books/940139/
20;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
21;Баллада о змеях и певчих птицах;Коллинз Сьюзен;АСТ;577;/books/757906/
22;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;1118;/books/943722/
23;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
24;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
25;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
26;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
