;title;author;pub_house;price;link
0;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1381;/books/943759/
1;Яма;Акунин Борис;АСТ;1351;/books/944277/
2;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;5421;/books/795058/
3;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1813;/books/924645/
4;Троецарствие;Ло Гуань-чжун;Иностранка;1215;/books/959606/
5;Гордость и предубеждение;Остен Джейн;Качели;1186;/books/852771/
6;Оружейный остров;Гош Амитав;Фантом Пресс;721;/books/956570/
7;Малазанская книга павших. Книга 3. Память льда;Эриксон Стивен;Азбука;1215;/books/959332/
8;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;1057;/books/952513/
9;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;2010;/books/652646/
10;Достойный жених. Книга 1;Сет Викрам;Иностранка;1057;/books/952150/
11;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
12;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
13;Жестокий век;Калашников Исай Калистратович;Азбука;963;/books/956602/
14;Уничтожить;Уэльбек Мишель;Corpus;1352;/books/952605/
15;Борнвилл;Коу Джонатан;Фантом Пресс;746;/books/951355/
16;Корриколо;Дюма Александр;Вече;494;/books/956782/
17;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
18;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1924;/books/877234/
19;Последний день лета;Подшибякин Андрей Михайлович;Редакция Елены Шубиной;1236;/books/947231/
20;Злодейский путь!.. Том 1 и 2;Моргот Эл;Манн, Иванов и Фербер;1153;/books/917405/
21;Шестерка воронов;Бардуго Ли;АСТ;1484;/books/927035/
22;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1045;/books/914171/
23;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;624;/books/946837/
24;Исчезновение. Дочь времени. Поющие пески;Тэй Джозефина;Иностранка;586;/books/955906/
25;Зимний сад;Ханна Кристин;Фантом Пресс;733;/books/935674/
26;Дом Кёко;Мисима Юкио;Иностранка;586;/books/948324/
27;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;1088;/books/859383/
28;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
29;Стыд;Рушди Салман;Corpus;1236;/books/955728/
30;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
31;Русь изначальная;Иванов Валентин Дмитриевич;Азбука;660;/books/958003/
32;Елизавета Йоркская. Последняя Белая роза;Уэйр Элисон;Азбука;830;/books/954720/
