;title;author;pub_house;price;link
0;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1381;/books/943759/
1;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;6406;/books/795058/
2;Яма;Акунин Борис;АСТ;676;/books/944277/
3;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1978;/books/924645/
4;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;724;/books/952513/
5;Гордость и предубеждение;Остен Джейн;Качели;1186;/books/852771/
6;Оружейный остров;Гош Амитав;Фантом Пресс;555;/books/956570/
7;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;1546;/books/652646/
8;Красавицы Бостона. Злодей;Шэн Л. Дж.;Freedom;416;/books/956413/
9;Уничтожить;Уэльбек Мишель;Corpus;1352;/books/952605/
10;Злодейский путь!.. Том 1 и 2;Моргот Эл;Манн, Иванов и Фербер;1153;/books/917405/
11;Малазанская книга павших. Книга 3. Память льда;Эриксон Стивен;Азбука;833;/books/959332/
12;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;676;/books/946837/
13;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;704;/books/851615/
14;Достойный жених. Книга 1;Сет Викрам;Иностранка;724;/books/952150/
15;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1628;/books/877234/
16;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;940;/books/934349/
17;Шестерка воронов;Бардуго Ли;АСТ;742;/books/927035/
18;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;834;/books/921433/
19;Борнвилл;Коу Джонатан;Фантом Пресс;574;/books/951355/
20;Последний день лета;Подшибякин Андрей Михайлович;Редакция Елены Шубиной;618;/books/947231/
21;Проклятые короли. Лилия и лев. Когда король губит Францию;Дрюон Морис;Иностранка;661;/books/954715/
22;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
23;Искра богов. Не потеряй меня;Вульф Мара;Freedom;416;/books/956415/
24;Троецарствие;Ло Гуань-чжун;Иностранка;833;/books/959606/
25;Корриколо;Дюма Александр;Вече;494;/books/956782/
26;Жестокий век;Калашников Исай Калистратович;Азбука;660;/books/956602/
27;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6948;/books/604732/
28;Стыд;Рушди Салман;Corpus;618;/books/955728/
29;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
30;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
31;Зимний сад;Ханна Кристин;Фантом Пресс;564;/books/935674/
32;Тайная история;Тартт Донна;Corpus;778;/books/466703/
33;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;616;/books/921953/
34;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;745;/books/859383/
35;Елизавета Йоркская. Последняя Белая роза;Уэйр Элисон;Азбука;569;/books/954720/
36;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
37;Чагин;Водолазкин Евгений Германович;Редакция Елены Шубиной;676;/books/882285/
38;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;616;/books/930327/
39;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1045;/books/914171/
40;Там, где раки поют;Оуэнс Делия;Фантом Пресс;537;/books/728444/
41;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
42;Пепел Нетесаного трона. Книга 1. На руинах империи;Стейвли Брайан;Азбука;1007;/books/960652/
43;Артур Рэйш. Когда темные боги шутят. Охотник за душами;Лисина Александра;АСТ;600;/books/958262/
44;Дом Кёко;Мисима Юкио;Иностранка;586;/books/948324/
45;Исчезновение. Дочь времени. Поющие пески;Тэй Джозефина;Иностранка;586;/books/955906/
46;Тираны и мстители;Сандерсон Брендон;Азбука;759;/books/954722/
47;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;684;/books/946581/
48;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
49;Последний гамбит;Барнс Дженнифер Линн;Like Book;690;/books/945470/
50;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;446;/books/930322/
51;Доблестная шпага месье де ла Герша;Ашар Амедей;Вече;494;/books/957966/
52;Хоббит, или Туда и обратно;Толкин Джон Рональд Руэл;АСТ;893;/books/701977/
53;Меч в ножнах из дикой сливы;Ласкина, Змеева;Манн, Иванов и Фербер;1153;/books/942590/
54;Пропавшие наши сердца;Инг Селеста;Фантом Пресс;537;/books/949226/
55;Прыжок;Лукьяненко Сергей Васильевич;АСТ;520;/books/935626/
56;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;578;/books/941874/
57;Карьера Ругонов. Его превосходительство Эжен Ругон. Добыча;Золя Эмиль;Иностранка;690;/books/951974/
58;Разреженный воздух;Морган Ричард;АСТ;818;/books/948775/
59;Настройщик;Мейсон Дэниел;Фантом Пресс;546;/books/939637/
60;Танкист. Поручик;Калбазов Константин Георгиевич;Альфа-книга;562;/books/946835/
61;Шепчущие никелевые идолы. Жестокие цинковые мелодии;Кук Глен;Азбука;660;/books/951756/
62;Железное золото;Браун Пирс;Азбука;586;/books/957614/
63;Славянские мифы. От Велеса и Мокоши до птицы Сирин и Ивана Купалы;Баркова Александра Леонидовна;Манн, Иванов и Фербер;709;/books/825915/
64;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;932;/books/943722/
65;На гребне обстоятельств;Шелег Дмитрий Витальевич;Альфа-книга;549;/books/946836/
66;Скрытая бухта;Орунья Мария;Фантом Пресс;733;/books/959079/
67;Пара из дома номер 9;Дуглас Клэр;Эксмо;662;/books/938723/
68;Русь изначальная;Иванов Валентин Дмитриевич;Азбука;660;/books/958003/
69;Ересь Хоруса. Книга II. Полет Эйзенштейна. Фулгрим. Сошествие Ангелов (иллюстрированное);Макнилл, Сваллоу, Сканлон;Фантастика;1546;/books/760571/
70;Книги Якова;Токарчук Ольга;Inspiria;1808;/books/923967/
71;Венская рапсодия;Дростен Юлия;Аркадия;624;/books/869221/
72;Полное собрание произведений о Шерлоке Холмсе в одном томе;Дойл Артур Конан;Альфа-книга;979;/books/149372/
73;В поисках утраченного времени. В 2-х т. Т. 2. Содом и Гоморра. Пленница. Беглянка. Обретенное время;Пруст Марсель;Альфа-книга;2376;/books/199746/
74;Я отвечаю за все;Герман Юрий Павлович;Азбука;661;/books/951806/
75;Полиция памяти;Огава Ёко;Поляндрия  No Age;539;/books/776648/
76;Тихая пристань;Рожнёва Ольга Леонидовна;Сретенский ставропигиальный мужской монастырь;804;/books/941242/
77;До встречи в книжном;Ales, Багрий, Ракша;Манн, Иванов и Фербер;389;/books/942593/
78;Орда встречного ветра;Дамазио Ален;АСТ;1164;/books/951809/
79;Титус один. Книга 3;Пик Мервин;Livebook;3120;/books/851749/
80;Горменгаст. Книга 2;Пик Мервин;Livebook;3120;/books/851748/
81;Книги Земноморья. Полное иллюстрированное издание;Ле Гуин Урсула;Азбука;1837;/books/914260/
82;Вторая жизнь Уве;Бакман Фредрик;Синдбад;527;/books/835733/
83;В поисках утраченного времени. В 2-х томах. Т.1. В сторону Свана. Под сенью девушек в цвету. Германт;Пруст Марсель;Альфа-книга;2376;/books/199745/
84;Галерея женщин. Цепи счастья;Драйзер Теодор;Иностранка;586;/books/950196/
85;"""Несвятые святые"" и другие рассказы";Архимандрит Тихон (Шевкунов);Вольный Странник;546;/books/695038/
86;Мотель «Вечерняя заря»;Сент-Джеймс Симона;Синдбад;546;/books/952643/
87;Ужас Данвича;Лавкрафт Говард Филлипс;Азбука;1071;/books/941247/
88;Продажное королевство;Бардуго Ли;АСТ;458;/books/639917/
89;Тени исчезают в полдень;Иванов Анатолий Степанович;Азбука;578;/books/917953/
90;Любовь вслепую;Мелан Вероника;Т8;818;/books/956453/
91;Дикая Флетчер;Такер К. А.;АСТ;396;/books/941316/
92;Зверобой;Купер Джеймс Фенимор;Лабиринт;1520;/books/849542/
93;Проклятые короли. Негоже лилиям прясть. Французская волчица;Дрюон Морис;Иностранка;661;/books/939706/
94;Темное искушение;Лори Даниэль;АСТ;445;/books/957294/
95;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;99;/books/285728/
96;Разбойничья злая луна. Роман, повести, рассказы;Лукин, Лукина;Азбука;724;/books/956601/
97;Скрытые намерения;Омер Майк;Inspiria;690;/books/944729/
98;Возвращение царя обезьян;Белянин, Менделеева;Альфа-книга;750;/books/951581/
99;Тринадцатая карта;Омер Майк;Inspiria;374;/books/951833/
100;Просто Маса;Акунин Борис;АСТ;778;/books/752339/
101;Грозовой перевал;Бронте Эмили;Манн, Иванов и Фербер;333;/books/946803/
102;Приключения Оливера Твиста;Диккенс Чарльз;Лабиринт;1440;/books/849541/
103;А.Смолин. Ведьмак. Книга 8. Грани сумерек;Васильев Андрей Александрович;Т8;1628;/books/954824/
104;Тихий Дон. В 4-х книгах;Шолохов Михаил Александрович;Речь;5168;/books/616505/
105;Белые пешки;Звонцова Екатерина;Питер;1219;/books/956029/
106;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;586;/books/948268/
107;Тачдаун;Рэйн Сола;АСТ;533;/books/947190/
108;Айвенго;Скотт Вальтер;Альфа-книга;490;/books/623462/
109;Ромео и Джульетта;Шекспир Уильям;Аркадия;502;/books/810907/
110;Брокен-Харбор;Френч Тана;Фантом Пресс;574;/books/943224/
111;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
112;До февраля;Идиатуллин Шамиль Шаукатович;Редакция Елены Шубиной;618;/books/940800/
113;Утренняя звезда;Браун Пирс;Азбука;495;/books/952908/
114;Тонкая психология. Юмористические рассказы;Тэффи Надежда Александровна;Азбука;660;/books/955800/
115;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
116;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1728;/books/819014/
117;Сигареты;Мэтьюз Хэрри;Фантом Пресс;555;/books/951356/
118;И край света в придачу;Подрабинек Алла Михайловна;Время;185;/books/773610/
119;Молчание цвета;Абгарян Наринэ Юрьевна;АСТ;445;/books/901282/
120;Убить королеву;Бекер Вирджиния;Аркадия;282;/books/768331/
121;Только попробуй уйти;Лавринович Ася;Like Book;566;/books/948301/
122;Лавр;Водолазкин Евгений Германович;Редакция Елены Шубиной;676;/books/364570/
123;Чародейка на всю голову;Мамаева Надежда Николаевна;Т8;830;/books/954823/
124;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
125;Призраки Иеронима Босха. Уникальная книга ужасов по мотивам бессмертных картин;Топфер Сарториус;Феникс;670;/books/957342/
126;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;834;/books/940186/
127;Запретный плод;Искандер Фазиль Абдулович;Текст;931;/books/938848/
128;Анна Каренина;Толстой Лев Николаевич;Речь;2325;/books/588501/
129;Ложится мгла на старые ступени;Чудаков Александр Павлович;Азбука;500;/books/924350/
130;Проклятые короли. Железный король. Узница Шато-Гайара. Яд и корона;Дрюон Морис;Иностранка;661;/books/935227/
131;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;1496;/books/940425/
132;Словно мы злодеи;Рио М. Л.;Дом историй;754;/books/935886/
133;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;474;/books/921398/
134;Потерянные боги;Бром;АСТ;707;/books/609946/
135;И нас пожирает пламя;Кабре Жауме;Иностранка;417;/books/957428/
136;Полное собрание романов, повестей, рассказов в одном томе;Булгаков Михаил Афанасьевич;Альфа-книга;931;/books/170798/
137;Щегол;Тартт Донна;Corpus;853;/books/462781/
138;Остров русалок;Си Лиза;Аркадия;655;/books/869226/
139;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2739;/books/900778/
140;"Проект ""Аве Мария""";Вейер Энди;АСТ;476;/books/835512/
141;Граф Монте-Кристо. В 2-х томах;Дюма Александр;Иностранка;1071;/books/912702/
142;Сильмариллион;Толкин Джон Рональд Руэл;АСТ;1297;/books/487764/
143;Коко;Страуб Питер;АСТ;929;/books/949277/
144;Бритва Дарвина;Симмонс Дэн;АСТ;1083;/books/959801/
145;Преступление и наказание;Достоевский Федор Михайлович;Речь;1917;/books/588504/
146;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;599;/books/943925/
147;Одиссея;Гомер;Верже;3773;/books/632077/
148;Найди меня;Фрейзер Энн;Аркадия;718;/books/848208/
149;Собрание сочинений в пяти томах;Довлатов Сергей Донатович;Азбука;3698;/books/917575/
150;Режьте, братцы, режьте. Сборник рассказов;Твен Марк;Текст;707;/books/849545/
151;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
152;Легенда о вампирах. Диаблери;Шерри Ана;Эксмо-Пресс;642;/books/950112/
153;Огненный поток;Гош Амитав;Фантом Пресс;587;/books/900629/
154;Лавка дурных снов;Кинг Стивен;АСТ;818;/books/952841/
155;Симон;Абгарян Наринэ Юрьевна;АСТ;458;/books/769120/
156;Разрушительная любовь;Хуан Ана;Inspiria;259;/books/940350/
157;Тень и искры;Арментроут Дженнифер;АСТ;618;/books/935480/
158;Имя розы;Эко Умберто;Corpus;1098;/books/303783/
159;Охотник на людей;Уайт Лорет Энн;Эксмо;593;/books/956540/
160;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1338;/books/907734/
161;Собор. Роман о петербургском зодчем;Измайлова Ирина Александровна;Азбука;525;/books/914180/
162;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;724;/books/949456/
163;Сказка сказок;Базиле Джамбаттиста;Иностранка;578;/books/942792/
164;Маленькие женщины;Олкотт Луиза Мэй;Манн, Иванов и Фербер;333;/books/925680/
165;Избранные произведения;Куприн Александр Иванович;Речь;930;/books/616506/
166;Приключения Оливера Твиста;Диккенс Чарльз;Речь;1126;/books/635811/
167;Странник по звездам, или Смирительная рубашка;Лондон Джек;Иностранка;855;/books/959976/
168;Дом духов;Альенде Исабель;Иностранка;525;/books/942221/
169;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
