;title;author;pub_house;price;link
0;Яма;Акунин Борис;АСТ;1117;/books/944277/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1978;/books/924645/
2;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
3;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
4;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
5;Спартак;Джованьоли Рафаэлло;Речь;2385;/books/717084/
6;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;855;/books/948268/
7;Шестерка воронов;Бардуго Ли;АСТ;1227;/books/927035/
8;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;5781;/books/614556/
9;Пятнадцатилетний капитан;Верн Жюль;Альфа-книга;134;/books/391041/
10;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
11;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;715;/books/940186/
12;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
13;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
14;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
15;Испытание;Вульф Трейси;Like Book;807;/books/938051/
16;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
17;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;6406;/books/795058/
18;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2408;/books/900778/
19;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
20;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;604;/books/946581/
21;Исповедь демонолога;Сакрытина Мария Николаевна;Freedom;607;/books/940110/
22;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
23;Баллада о змеях и певчих птицах;Коллинз Сьюзен;АСТ;577;/books/757906/
24;Ведьмы Тихого ручья. Колдовской сезон;Дейд Айла;Freedom;667;/books/940139/
25;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;74;/books/285728/
26;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;8338;/books/604732/
27;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
28;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
29;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;1118;/books/943722/
30;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
31;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
32;Архивы Дрездена. История призрака. Холодные дни;Батчер Джим;Азбука;1057;/books/944938/
33;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
34;Вокруг света за 80 дней. Робур-Завоеватель;Верн Жюль;Альфа-книга;896;/books/345128/
35;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;1057;/books/949456/
36;Дом Кёко;Мисима Юкио;Иностранка;855;/books/948324/
37;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
38;Венская рапсодия;Дростен Юлия;Аркадия;528;/books/869221/
39;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;3843;/books/624022/
40;Семь престолов;Струкул Маттео;Аркадия;787;/books/785222/
41;Джек из Тени. Полное издание;Желязны Роджер;Эксмо;1911;/books/932882/
42;Времеубежище;Господинов Георги;Поляндрия  No Age;1118;/books/941265/
43;Трое из академии. Трое в долине;Лисина Александра;АСТ;513;/books/948206/
44;Первый урок Шоломанчи;Новик Наоми;Эксмо;738;/books/927157/
45;Исповедь моего сердца;Оутс Джойс Кэрол;Текст;710;/books/746139/
46;Царство Страха;Манискалко Керри;АСТ;941;/books/945076/
47;Тринадцать;Кавана Стив;Inspiria;583;/books/934637/
48;ПоэZия русского лета;Артис, Ватутина, Бергин;Эксмо;1590;/books/943011/
49;Преступление и наказание;Достоевский Федор Михайлович;Манн, Иванов и Фербер;485;/books/936739/
50;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1776;/books/877234/
51;Хозяйка Шварцвальда;Харт Уна;Inspiria;692;/books/942467/
52;Дом листьев;Данилевский Марк Z.;Гонзо;1060;/books/830799/
53;Капитан Арена;Дюма Александр;Вече;593;/books/949356/
54;Сын Зевса. В глуби веков. Герой Саламина;Воронкова Любовь Федоровна;Азбука;1057;/books/948194/
55;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
56;Пока бьётся сердце;Хартманн Дженнифер;Freedom;759;/books/945597/
57;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;875;/books/943925/
58;Евгений Онегин;Пушкин Александр Сергеевич;Манн, Иванов и Фербер;485;/books/930332/
59;Дракула;Стокер Брэм;Манн, Иванов и Фербер;433;/books/938875/
60;Луна над Сохо;Ааронович Бен;fanzon;711;/books/944343/
61;До февраля;Идиатуллин Шамиль Шаукатович;Редакция Елены Шубиной;902;/books/940800/
62;Коко;Страуб Питер;АСТ;1356;/books/949277/
63;Алая аура протопарторга. Абсолютно правдивые истории о кудесниках, магах и нечисти;Лукин Евгений Юрьевич;Азбука;1057;/books/948196/
64;Искра богов. Не люби меня;Вульф Мара;Freedom;552;/books/925663/
65;Проклятие теней и шипов;Эндрюс Л. Дж.;Freedom;554;/books/940158/
66;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
67;Университет Специальных Чар. Пощады, маэстрина!;Завойчинская Милена Валерьевна;Эксмо;545;/books/936521/
68;Принц Ардена;Анри Софи;Freedom;607;/books/934417/
69;Профайлер;Ми Лэй;Inspiria;662;/books/935861/
70;Звёздные войны. Расцвет Республики. Тропа обмана;Айрлэнд, Греттон;fanzon;650;/books/945883/
71;Мойры сплели свои нити;Степанова Татьяна Юрьевна;Эксмо;545;/books/945888/
72;Прыжок;Лукьяненко Сергей Васильевич;АСТ;860;/books/935626/
73;Год порно;Мамаев-Найлз Илья;Поляндрия  No Age;883;/books/939632/
74;Гипотеза любви;Хейзелвуд Али;Манн, Иванов и Фербер;739;/books/842232/
75;Восстание Персеполиса. Гнев Тиамат. Оберон;Кори Джеймс;Фантастика;1391;/books/944194/
76;Базар гоблинов и другие стихи;Россетти Кристина Джорджина;Октопус;509;/books/717987/
77;Анна Каренина. В 2-х томах;Толстой Лев Николаевич;Время;787;/books/575010/
78;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;651;/books/930322/
79;Черная стрела;Стивенсон Роберт Льюис;Издательский дом Мещерякова;473;/books/564503/
80;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
81;Реки Лондона;Ааронович Бен;fanzon;650;/books/932879/
82;Вторая жизнь Уве;Бакман Фредрик;Синдбад;632;/books/835733/
83;Эсав;Шалев Меир;Текст;710;/books/773038/
84;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;692;/books/921398/
85;Обитель;Прилепин Захар;Редакция Елены Шубиной;1304;/books/434874/
86;Берега. Роман о семействе Дюморье;Дюморье Дафна;Азбука;641;/books/945132/
87;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1581;/books/907734/
