;title;author;pub_house;price;link
0;Яма;Акунин Борис;АСТ;1005;/books/944277/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1483;/books/924645/
2;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
3;Разрушительная любовь;Хуан Ана;Inspiria;378;/books/940350/
4;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
5;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
6;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;855;/books/948268/
7;Шестерка воронов;Бардуго Ли;АСТ;1083;/books/927035/
8;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;616;/books/946581/
9;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;5255;/books/614556/
10;Спартак;Джованьоли Рафаэлло;Речь;1855;/books/717084/
11;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
12;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2739;/books/900778/
13;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;834;/books/940186/
14;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
15;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
16;Царство Страха;Манискалко Керри;АСТ;847;/books/945076/
17;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
18;Присягнувшая Черепу;Стейвли Брайан;Азбука;880;/books/948267/
19;Испытание;Вульф Трейси;Like Book;1001;/books/938051/
20;Пятнадцатилетний капитан;Верн Жюль;Альфа-книга;896;/books/391041/
21;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
22;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;5914;/books/795058/
23;Ведьмы Тихого ручья. Колдовской сезон;Дейд Айла;Freedom;667;/books/940139/
24;Исповедь демонолога;Сакрытина Мария Николаевна;Freedom;607;/books/940110/
25;Дом Кёко;Мисима Юкио;Иностранка;855;/books/948324/
26;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
27;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
28;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
29;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
30;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;1057;/books/949456/
31;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
32;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
33;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;496;/books/285728/
34;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
35;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
36;Джек из Тени. Полное издание;Желязны Роджер;Эксмо;1911;/books/932882/
37;Трое из академии. Трое в долине;Лисина Александра;АСТ;513;/books/948206/
38;Глория. Трон одного мертвеца;Жильцова Наталья Сергеевна;Т8;1197;/books/947554/
39;Сын Зевса. В глуби веков. Герой Саламина;Воронкова Любовь Федоровна;Азбука;1057;/books/948194/
40;Баллада о змеях и певчих птицах;Коллинз Сьюзен;АСТ;577;/books/757906/
41;Капитан Арена;Дюма Александр;Вече;593;/books/949356/
42;Венская рапсодия;Дростен Юлия;Аркадия;576;/books/869221/
43;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6948;/books/604732/
44;Скрытые намерения;Омер Майк;Inspiria;690;/books/944729/
45;Преступление и наказание;Достоевский Федор Михайлович;Манн, Иванов и Фербер;485;/books/936739/
46;Первый урок Шоломанчи;Новик Наоми;Эксмо;650;/books/927157/
47;Времеубежище;Господинов Георги;Поляндрия  No Age;1118;/books/941265/
48;Коко;Страуб Питер;АСТ;1356;/books/949277/
49;ПоэZия русского лета;Артис, Ватутина, Бергин;Эксмо;1590;/books/943011/
50;Луна над Сохо;Ааронович Бен;fanzon;738;/books/944343/
51;Семь престолов;Струкул Маттео;Аркадия;394;/books/785222/
52;Алая аура протопарторга. Абсолютно правдивые истории о кудесниках, магах и нечисти;Лукин Евгений Юрьевич;Азбука;1057;/books/948196/
53;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;1088;/books/859383/
54;Хозяйка Шварцвальда;Харт Уна;Inspiria;787;/books/942467/
55;Сломай меня;Брэнди Меган;Inspiria;756;/books/947442/
56;Мойры сплели свои нити;Степанова Татьяна Юрьевна;Эксмо;545;/books/945888/
57;Базар гоблинов и другие стихи;Россетти Кристина Джорджина;Октопус;3390;/books/717987/
58;Архивы Дрездена. История призрака. Холодные дни;Батчер Джим;Азбука;1057;/books/944938/
59;Тринадцать;Кавана Стив;Inspiria;583;/books/934637/
60;Проклятие теней и шипов;Эндрюс Л. Дж.;Freedom;554;/books/940158/
61;Кенилворт. Том 1;Скотт Вальтер;Вече;1186;/books/943252/
62;Черная стрела;Стивенсон Роберт Льюис;Издательский дом Мещерякова;3154;/books/564503/
63;Дракула;Стокер Брэм;Манн, Иванов и Фербер;526;/books/938875/
64;Тень евнуха;Кабре Жауме;Иностранка;855;/books/948192/
65;Тачдаун;Рэйн Сола;АСТ;533;/books/947190/
66;Звёздные войны. Расцвет Республики. Тропа обмана;Айрлэнд, Греттон;fanzon;738;/books/945883/
67;Профайлер;Ми Лэй;Inspiria;662;/books/935861/
68;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
69;Не злите добрую колдунью!;Ефиминюк Марина Владимировна;Эксмо;480;/books/944318/
70;Прыжок;Лукьяненко Сергей Васильевич;АСТ;774;/books/935626/
71;Гипотеза любви;Хейзелвуд Али;Манн, Иванов и Фербер;739;/books/842232/
72;Тихий Дон. В 4-х книгах;Шолохов Михаил Александрович;Речь;5168;/books/616505/
73;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1924;/books/877234/
74;Уснут не все;Нэвилл Адам;АСТ;623;/books/949167/
75;До февраля;Идиатуллин Шамиль Шаукатович;Редакция Елены Шубиной;902;/books/940800/
76;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
77;Исповедь моего сердца;Оутс Джойс Кэрол;Текст;355;/books/746139/
78;Реки Лондона;Ааронович Бен;fanzon;650;/books/932879/
79;Обитель;Прилепин Захар;Редакция Елены Шубиной;1304;/books/434874/
80;Принц Ардена;Анри Софи;Freedom;607;/books/934417/
81;Галерея женщин. Цепи счастья;Драйзер Теодор;Иностранка;855;/books/950196/
82;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1526;/books/914171/
83;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;875;/books/943925/
84;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1338;/books/907734/
85;Искра богов. Не люби меня;Вульф Мара;Freedom;607;/books/925663/
86;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
87;Чагин;Водолазкин Евгений Германович;Редакция Елены Шубиной;986;/books/882285/
88;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
89;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
90;Университет Специальных Чар. Пощады, маэстрина!;Завойчинская Милена Валерьевна;Эксмо;545;/books/936521/
91;И в горе, и в радости;Мэйсон Мег;Inspiria;540;/books/927069/
92;Чужое имя. Тайна королевского приюта для детей;Коуэн Джастин;Бомбора;504;/books/938729/
93;Лихо. Медь и мёд;Лехчина Яна;Эксмо;607;/books/935883/
94;Вторая жизнь Уве;Бакман Фредрик;Синдбад;632;/books/835733/
95;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;692;/books/921398/
96;Улица Ручей. Том 1. Накануне;Линде Юлия Владимировна;Пять четвертей;1470;/books/792393/
97;Восстание Персеполиса. Гнев Тиамат. Оберон;Кори Джеймс;Фантастика;1391;/books/944194/
98;До встречи в книжном;Без автора;Манн, Иванов и Фербер;567;/books/942593/
99;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1584;/books/819014/
100;Зимний сад;Ханна Кристин;Фантом Пресс;733;/books/935674/
101;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;651;/books/930322/
102;Особое положение;Вудворт, Васина;АСТ;513;/books/947169/
103;Мельница на Флоссе;Элиот Джордж;Иностранка;855;/books/948191/
104;Повесть о жизни;Паустовский Константин Георгиевич;Азбука;1302;/books/914162/
105;В поисках утраченного времени. В 2-х т. Т. 2. Содом и Гоморра. Пленница. Беглянка. Обретенное время;Пруст Марсель;Альфа-книга;2592;/books/199746/
106;Хоббит, или Туда и обратно;Толкин Джон Рональд Руэл;АСТ;1304;/books/701977/
107;Год порно;Мамаев-Найлз Илья;Поляндрия  No Age;883;/books/939632/
108;Брокен-Харбор;Френч Тана;Фантом Пресс;746;/books/943224/
109;Пламенный Клинок;Вудинг Крис;Аркадия;590;/books/778937/
110;Титус один. Книга 3;Пик Мервин;Livebook;2880;/books/851749/
111;Горменгаст. Книга 2;Пик Мервин;Livebook;2880;/books/851748/
112;Карты. Нечисть. Безумие. Рассказы русских писателей;Гоголь, Лермонтов, Брюсов;Эксмо;710;/books/930963/
113;Поместье с привидениями;Мартова Людмила;Эксмо;437;/books/947276/
114;Славянские мифы. От Велеса и Мокоши до птицы Сирин и Ивана Купалы;Баркова Александра Леонидовна;Манн, Иванов и Фербер;1034;/books/825915/
115;Викинг. Гнев Севера;Мазин Александр Владимирович;Феникс;916;/books/945135/
116;Пропавшие наши сердца;Инг Селеста;Фантом Пресс;697;/books/949226/
117;Тайна отца Брауна;Честертон Гилберт Кит;Издательский дом Мещерякова;1650;/books/609525/
118;Мастер и Маргарита. Коллекционное иллюстрированное издание;Булгаков Михаил Афанасьевич;Алгоритм;1943;/books/562263/
119;Евгений Онегин;Пушкин Александр Сергеевич;Речь;1909;/books/669673/
