;title;author;pub_house;price;link
0;Яма;Акунин Борис;АСТ;1117;/books/944277/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1978;/books/924645/
2;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
3;Королевская кровь-10. Стальные небеса;Котова Ирина Владимировна;Т8;2334;/books/940425/
4;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
5;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
6;Шестерка воронов;Бардуго Ли;АСТ;1227;/books/927035/
7;Пятнадцатилетний капитан;Верн Жюль;Альфа-книга;134;/books/391041/
8;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;4730;/books/614556/
9;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
10;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;855;/books/948268/
11;Архивы Дрездена. История призрака. Холодные дни;Батчер Джим;Азбука;1057;/books/944938/
12;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
13;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;6406;/books/795058/
14;Испытание;Вульф Трейси;Like Book;807;/books/938051/
15;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;715;/books/940186/
16;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
17;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
18;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
19;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;74;/books/285728/
20;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
21;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6253;/books/604732/
22;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
23;Тринадцать;Кавана Стив;Inspiria;583;/books/934637/
24;Баллада о змеях и певчих птицах;Коллинз Сьюзен;АСТ;577;/books/757906/
25;Исповедь демонолога;Сакрытина Мария Николаевна;Freedom;607;/books/940110/
26;Присягнувшая Черепу;Стейвли Брайан;Азбука;880;/books/948267/
27;Венская рапсодия;Дростен Юлия;Аркадия;480;/books/869221/
28;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
29;Семь престолов;Струкул Маттео;Аркадия;295;/books/785222/
30;Первый урок Шоломанчи;Новик Наоми;Эксмо;738;/books/927157/
31;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
32;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
33;Времеубежище;Господинов Георги;Поляндрия  No Age;838;/books/941265/
34;Исповедь моего сердца;Оутс Джойс Кэрол;Текст;266;/books/746139/
35;Ведьмы Тихого ручья. Колдовской сезон;Дейд Айла;Freedom;667;/books/940139/
36;Университет Специальных Чар. Пощады, маэстрина!;Завойчинская Милена Валерьевна;Эксмо;545;/books/936521/
37;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1776;/books/877234/
38;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
39;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
40;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2408;/books/900778/
41;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;875;/books/943925/
42;Восстание Персеполиса. Гнев Тиамат. Оберон;Кори Джеймс;Фантастика;1391;/books/944194/
43;Крест и крыло;Гончарова Галина Дмитриевна;АСТ;558;/books/944427/
44;Дракула;Стокер Брэм;Манн, Иванов и Фербер;526;/books/938875/
45;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;838;/books/943722/
46;Джек из Тени. Полное издание;Желязны Роджер;Эксмо;1911;/books/932882/
47;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
48;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
49;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
50;Трое из академии. Трое в долине;Лисина Александра;АСТ;513;/books/948206/
51;Луна над Сохо;Ааронович Бен;fanzon;711;/books/944343/
52;Кенилворт. Том 1;Скотт Вальтер;Вече;1087;/books/943252/
53;Истинный князь;Шелег Дмитрий Витальевич;Альфа-книга;515;/books/903773/
54;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
55;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;1057;/books/949456/
56;ПоэZия русского лета;Артис, Ватутина, Бергин;Эксмо;1590;/books/943011/
57;До февраля;Идиатуллин Шамиль Шаукатович;Редакция Елены Шубиной;902;/books/940800/
58;Базар гоблинов и другие стихи;Россетти Кристина Джорджина;Октопус;509;/books/717987/
59;Звёздные войны. Расцвет Республики. Павшая звезда;Грей Клаудия;fanzon;650;/books/944716/
60;Прыжок;Лукьяненко Сергей Васильевич;АСТ;860;/books/935626/
61;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
62;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1728;/books/819014/
63;Профайлер;Ми Лэй;Inspiria;662;/books/935861/
64;Анна Каренина. В 2-х томах;Толстой Лев Николаевич;Время;295;/books/575010/
65;Искра богов. Не люби меня;Вульф Мара;Freedom;552;/books/925663/
66;Преступление и наказание;Достоевский Федор Михайлович;Манн, Иванов и Фербер;485;/books/936739/
67;Год порно;Мамаев-Найлз Илья;Поляндрия  No Age;662;/books/939632/
68;Миндаль;Сон Вон Пхён;Поляндрия  No Age;701;/books/870765/
69;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;651;/books/930322/
70;Реки Лондона;Ааронович Бен;fanzon;650;/books/932879/
71;Принц Ардена;Анри Софи;Freedom;607;/books/934417/
72;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;692;/books/921398/
73;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
74;Проклятие теней и шипов;Эндрюс Л. Дж.;Freedom;554;/books/940158/
75;Эсав;Шалев Меир;Текст;266;/books/773038/
76;Евгений Онегин;Пушкин Александр Сергеевич;Манн, Иванов и Фербер;485;/books/930332/
77;Звёздные войны. Расцвет Республики. Тропа обмана;Айрлэнд, Греттон;fanzon;650;/books/945883/
78;Пламенный Клинок;Вудинг Крис;Аркадия;590;/books/778937/
79;Жизнь Дэвида Копперфилда, рассказанная им самим. В 2-х томах;Диккенс Чарльз;Речь;1846;/books/635826/
80;Улица Ручей. Том 1. Накануне;Линде Юлия Владимировна;Пять четвертей;1603;/books/792393/
81;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1459;/books/907734/
82;Дом листьев;Данилевский Марк Z.;Гонзо;972;/books/830799/
83;Пятый Дракон;Арден Лия;Эксмо;690;/books/934568/
84;Обитель;Прилепин Захар;Редакция Елены Шубиной;1304;/books/434874/
85;Посмертные записки Пиквикского клуба. В 2-х томах;Диккенс Чарльз;Речь;1846;/books/631687/
86;Тихий Дон. В 4-х книгах;Шолохов Михаил Александрович;Речь;4651;/books/616505/
87;Вторая жизнь Уве;Бакман Фредрик;Синдбад;632;/books/835733/
