;title;author;pub_house;price;link
0;Благословение небожителей. Том 4;Тунсю Мосян;Комильфо;1381;/books/943759/
1;Евгений Онегин с комментариями Ю. М. Лотмана. В 2-х книгах;Пушкин, Лотман;Иллюминатор;1648;/books/924645/
2;Яма;Акунин Борис;АСТ;1005;/books/944277/
3;Злодейский путь!.. Том 1 и 2;Моргот Эл;Манн, Иванов и Фербер;1153;/books/917405/
4;Колесо Времени. Книга 10. Перекрестки сумерек;Джордан Роберт;Азбука;1057;/books/952513/
5;Земля Санникова. В 2-х томах;Обручев Владимир Афанасьевич;Лабиринт;5914;/books/795058/
6;Японские легенды. Оборотень Кицунэ, ведьма Такияша, слово самурая, заклинания, месть и любовь;Тонани Лоренца;Манн, Иванов и Фербер;940;/books/936077/
7;Царство Страха;Манискалко Керри;АСТ;518;/books/945076/
8;Лисьи броды;Старобинец Анна Альфредовна;Рипол-Классик;1097;/books/851615/
9;Пожиратель душ. Об ангелах, демонах и потусторонних кошмарах;Каттнер Генри;Азбука;1057;/books/951757/
10;Карьера Ругонов. Его превосходительство Эжен Ругон. Добыча;Золя Эмиль;Иностранка;1007;/books/951974/
11;Разрушительная любовь;Хуан Ана;Inspiria;518;/books/940350/
12;Последний гамбит;Барнс Дженнифер Линн;Like Book;690;/books/945470/
13;Atomic Heart. Предыстория «Предприятия 3826»;Хорф Харальд;АСТ;628;/books/951982/
14;Уничтожить;Уэльбек Мишель;Corpus;1194;/books/952605/
15;Благословение небожителей. Том 3;Тунсю Мосян;Комильфо;1381;/books/895876/
16;Мертвый кролик, живой кролик;Михалкова Елена Ивановна;АСТ;616;/books/946581/
17;Правила выживания в Джакарте. Подарочное издание;Цимеринг, Багрий;Манн, Иванов и Фербер;1372;/books/934349/
18;Благословение небожителей. Том 2;Тунсю Мосян;Комильфо;1381;/books/852780/
19;Туманы Авалона. Том 1;Брэдли Мэрион Зиммер;Эксмо;2118;/books/900879/
20;Благословение небожителей. Том 1;Тунсю Мосян;Комильфо;1265;/books/835686/
21;Скрытые намерения;Омер Майк;Inspiria;690;/books/944729/
22;Шепчущие никелевые идолы. Жестокие цинковые мелодии;Кук Глен;Азбука;963;/books/951756/
23;Ковен озера Шамплейн. Трилогия;Гор Анастасия;Эксмо;2739;/books/900778/
24;Шестерка воронов;Бардуго Ли;АСТ;1083;/books/927035/
25;Мара и Морок. Подарочный комплект (футляр);Арден Лия;Эксмо;4292;/books/830144/
26;Москит. Конфронтация;Корнев Павел Николаевич;Альфа-книга;728;/books/946837/
27;Только попробуй уйти;Лавринович Ася;Like Book;564;/books/948301/
28;Тираны и мстители;Сандерсон Брендон;Азбука;1108;/books/954722/
29;Путешествие к себе. Большая Панда и Маленький Дракон. Медитативная история;Норбури Джеймс;Манн, Иванов и Фербер;1088;/books/859383/
30;Восхождение фениксов;Тянься Гуйюань;Freedom;959;/books/944303/
31;Последняя из рода Мун. Семь свистунов. Неистовый гон;Фуллер Ирина;Эксмо;856;/books/951829/
32;Дом Кёко;Мисима Юкио;Иностранка;855;/books/948324/
33;Я отвечаю за все;Герман Юрий Павлович;Азбука;965;/books/951806/
34;Мальчики из Фоллз;Дуглас Пенелопа;АСТ;635;/books/945070/
35;Орда встречного ветра;Дамазио Ален;АСТ;1699;/books/951809/
36;Проклятые короли. Лилия и лев. Когда король губит Францию;Дрюон Морис;Иностранка;965;/books/954715/
37;Карело-финские мифы. От Калевалы и птицы-демиурга до чуди и саамов;Петрухин Владимир Яковлевич;Манн, Иванов и Фербер;899;/books/930327/
38;Война и мир. Комлект из 2-х книг;Толстой Лев Николаевич;Азбука;1526;/books/914171/
39;Война и мир. В 4-х томах.;Толстой Лев Николаевич;Речь;6948;/books/604732/
40;Мифы Поволжья. От Волчьего владыки и Мирового древа до культа змей и птицы счастья;Муравьева Татьяна Владимировна;Манн, Иванов и Фербер;899;/books/921953/
41;Последний выпуск;Новик Наоми;Эксмо;738;/books/944278/
42;Бронепароходы;Иванов Алексей Викторович;Рипол-Классик;1300;/books/921433/
43;Последний день лета;Подшибякин Андрей Михайлович;Редакция Елены Шубиной;902;/books/947231/
44;Спартак;Джованьоли Рафаэлло;Речь;1590;/books/717084/
45;Легенды и мифы Древней Греции;Кун Николай Альбертович;Иллюминатор;1628;/books/877234/
46;Пропавшие наши сердца;Инг Селеста;Фантом Пресс;697;/books/949226/
47;Магазинчик времени;Ким Сонён;Манн, Иванов и Фербер;614;/books/927095/
48;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;1855;/books/652646/
49;Прыжок;Лукьяненко Сергей Васильевич;АСТ;774;/books/935626/
50;Зимний сад;Ханна Кристин;Фантом Пресс;733;/books/935674/
51;Двериндариум. Живое;Суржевская Марина;Манн, Иванов и Фербер;834;/books/940186/
52;Достойный жених. Книга 1;Сет Викрам;Иностранка;1057;/books/952150/
53;Меч в ножнах из дикой сливы;Ласкина, Змеева;Манн, Иванов и Фербер;988;/books/942590/
54;Во власти Дубовой Короны;Гончарова Галина Дмитриевна;АСТ;533;/books/952840/
55;Хоббит, или Туда и обратно;Толкин Джон Рональд Руэл;АСТ;1304;/books/701977/
56;Гипотеза любви;Хейзелвуд Али;Манн, Иванов и Фербер;739;/books/842232/
57;Чагин;Водолазкин Евгений Германович;Редакция Елены Шубиной;986;/books/882285/
58;Галерея женщин. Цепи счастья;Драйзер Теодор;Иностранка;855;/books/950196/
59;Испытание;Вульф Трейси;Like Book;1001;/books/938051/
60;Блистательные годы. Гран-Канария;Кронин Арчибалд Джозеф;Иностранка;855;/books/948268/
61;Крутой маршрут. Хроника времен культа личности;Гинзбург Евгения Соломоновна;Азбука;843;/books/941874/
62;Мастер и Маргарита;Булгаков Михаил Афанасьевич;Верже;4838;/books/606810/
63;Петр Первый. В 2-х томах;Толстой Алексей Николаевич;Речь;2562;/books/624022/
64;Солнце и Замок;Вулф Джин;fanzon;1455;/books/946752/
65;Разреженный воздух;Морган Ричард;АСТ;1194;/books/948775/
66;Лорна Дун;Блэкмор Ричард Додридж;Вече;593;/books/952209/
67;Ромео и Джульетта;Шекспир Уильям;Аркадия;593;/books/810907/
68;В поисках утраченного времени. В 2-х томах. Т.1. В сторону Свана. Под сенью девушек в цвету. Германт;Пруст Марсель;Альфа-книга;2160;/books/199745/
69;Словно мы злодеи;Рио М. Л.;Дом историй;1175;/books/935886/
70;Чародейка на всю голову;Мамаева Надежда Николаевна;Т8;1295;/books/954823/
71;История рыжего демона;Шекли, Желязны;АСТ;1407;/books/952399/
72;Просто Маса;Акунин Борис;АСТ;1135;/books/752339/
73;Тайная история;Тартт Донна;Corpus;1135;/books/466703/
74;Венская рапсодия;Дростен Юлия;Аркадия;528;/books/869221/
75;Гибельное влияние;Омер Майк;Inspiria;690;/books/927427/
76;Повесть о жизни;Паустовский Константин Георгиевич;Азбука;1302;/books/914162/
77;Подвиги бригадира Жерара. Приключения бригадира Жерара;Дойл Артур Конан;Альфа-книга;99;/books/285728/
78;Коко;Страуб Питер;АСТ;1356;/books/949277/
79;Сын Зевса. В глуби веков. Герой Саламина;Воронкова Любовь Федоровна;Азбука;1057;/books/948194/
80;ПоэZия русского лета;Артис, Ватутина, Бергин;Эксмо;2178;/books/943011/
81;Двериндариум. Мертвое;Суржевская Марина;Манн, Иванов и Фербер;446;/books/930322/
82;Стыд;Рушди Салман;Corpus;902;/books/955728/
83;А.Смолин. Ведьмак. Книга 8. Грани сумерек;Васильев Андрей Александрович;Т8;1628;/books/954824/
84;Сказка сказок;Базиле Джамбаттиста;Иностранка;843;/books/942792/
85;В поисках утраченного времени. В 2-х т. Т. 2. Содом и Гоморра. Пленница. Беглянка. Обретенное время;Пруст Марсель;Альфа-книга;2376;/books/199746/
86;Сорок пять;Дюма Александр;Иностранка;855;/books/951758/
87;Брокен-Харбор;Френч Тана;Фантом Пресс;746;/books/943224/
88;Тачдаун;Рэйн Сола;АСТ;533;/books/947190/
89;Сигареты;Мэтьюз Хэрри;Фантом Пресс;721;/books/951356/
90;Джек из Тени. Полное издание;Желязны Роджер;Эксмо;1911;/books/932882/
91;Полное собрание произведений о Шерлоке Холмсе в одном томе;Дойл Артур Конан;Альфа-книга;1061;/books/149372/
92;Не злите добрую колдунью!;Ефиминюк Марина Владимировна;Эксмо;657;/books/944318/
93;Титус один. Книга 3;Пик Мервин;Livebook;2880;/books/851749/
94;Горменгаст. Книга 2;Пик Мервин;Livebook;2880;/books/851748/
95;Свет в окошке. Земные пути. Колодезь;Логинов Святослав Владимирович;Азбука;1057;/books/949456/
96;Черная стрела;Стивенсон Роберт Льюис;Издательский дом Мещерякова;631;/books/564503/
97;Присягнувшая Черепу;Стейвли Брайан;Азбука;880;/books/948267/
98;Борнвилл;Коу Джонатан;Фантом Пресс;746;/books/951355/
99;Глория. Трон одного мертвеца;Жильцова Наталья Сергеевна;Т8;767;/books/947554/
100;Профайлер;Ми Лэй;Inspiria;662;/books/935861/
101;Пара из дома номер 9;Дуглас Клэр;Эксмо;662;/books/938723/
102;Луна над Сохо;Ааронович Бен;fanzon;738;/books/944343/
103;Славянские мифы. От Велеса и Мокоши до птицы Сирин и Ивана Купалы;Баркова Александра Леонидовна;Манн, Иванов и Фербер;709;/books/825915/
104;Мекленбургский дьявол;Оченков, Перунов;Альфа-книга;728;/books/920595/
105;Сломай меня;Брэнди Меган;Inspiria;756;/books/947442/
106;Первый урок Шоломанчи;Новик Наоми;Эксмо;890;/books/927157/
107;Реки Лондона;Ааронович Бен;fanzon;890;/books/932879/
108;До встречи в книжном;Ales, Багрий, Ракша;Манн, Иванов и Фербер;567;/books/942593/
109;Задача трех тел;Лю Цысинь;Fanzon;932;/books/610958/
110;Дон Кихот. В 2-х книгах;Сервантес Мигель де Сааведра;Речь;5781;/books/614556/
111;Вторая жизнь Уве;Бакман Фредрик;Синдбад;632;/books/835733/
112;Приключения Оливера Твиста;Диккенс Чарльз;Лабиринт;1440;/books/849541/
113;Улица Ручей. Том 2. Отступление;Линде Юлия Владимировна;Пять четвертей;1728;/books/819014/
114;Продажное королевство;Бардуго Ли;АСТ;669;/books/639917/
115;Претендент. Память рода;Вяч Павел;Альфа-книга;416;/books/926159/
116;Хозяйка Шварцвальда;Харт Уна;Inspiria;787;/books/942467/
117;Остров русалок;Си Лиза;Аркадия;554;/books/869226/
118;Трущобные люди. Мои скитания. Люди театра. Москва газетная. Москва и москвичи. Друзья и встречи;Гиляровский Владимир Алексеевич;Альфа-книга;1581;/books/907734/
119;Канцтовары Цубаки;Огава Ито;Поляндрия  No Age;1118;/books/943722/
120;Убийца в толпе. Шиллинг на свечи. Дело о похищении Бетти Кейн;Тэй Джозефина;Иностранка;875;/books/943925/
121;Тарас Бульба;Гоголь Николай Васильевич;Речь;691;/books/628288/
122;"Японские мифы. От кицунэ и ёкаев до ""Звонка"" и ""Наруто""";Фридман Джошуа;Манн, Иванов и Фербер;899;/books/860378/
123;Выстрел мимо цели;Осман Ричард Томас;Манн, Иванов и Фербер;692;/books/921398/
124;Тринадцатая карта;Омер Майк;Inspiria;374;/books/951833/
125;Джевдет-бей и сыновья;Памук Орхан;Иностранка;911;/books/941875/
126;Тень. Том 1;Жильцова Наталья Сергеевна;Эксмо;1388;/books/946748/
127;Тайна всегда со мной;Полякова, Полякова;Эксмо;690;/books/948768/
128;Ложится мгла на старые ступени;Чудаков Александр Павлович;Азбука;729;/books/924350/
129;Лихо. Медь и мёд;Лехчина Яна;Эксмо;832;/books/935883/
130;Проклятые короли. Негоже лилиям прясть. Французская волчица;Дрюон Морис;Иностранка;965;/books/939706/
131;Корриколо;Дюма Александр;Вече;593;/books/956782/
132;Доктор Красавчик;Сокол Лена;Эксмо;566;/books/944319/
133;Приключения пани Иоанны. Начало. Комплект из 3-х книг;Хмелевская Иоанна;Аркадия;1531;/books/931180/
134;Мир Вальдиры. Ведомости Бульквариуса;Михайлов Дем;АСТ;1031;/books/951988/
135;Тихий Дон (комплект из 2-х книг);Шолохов Михаил Александрович;Эксмо;914;/books/766605/
136;Испанский любовный обман;Армас Елена;Inspiria;497;/books/925670/
137;Тихая пристань;Рожнёва Ольга Леонидовна;Сретенский ставропигиальный мужской монастырь;742;/books/941242/
138;Зверобой;Купер Джеймс Фенимор;Лабиринт;1520;/books/849542/
139;Тень евнуха;Кабре Жауме;Иностранка;855;/books/948192/
140;Спой мне о забытом;Олсон Джессика С.;Эксмо;711;/books/938143/
141;Лавка дурных снов;Кинг Стивен;АСТ;1194;/books/952841/
142;Улица Ручей. Том 1. Накануне;Линде Юлия Владимировна;Пять четвертей;1603;/books/792393/
143;Настройщик;Мейсон Дэниел;Фантом Пресс;709;/books/939637/
144;Айвенго;Скотт Вальтер;Альфа-книга;490;/books/623462/
145;Там, где раки поют;Оуэнс Делия;Фантом Пресс;697;/books/728444/
146;Тихий Дон. В 4-х книгах;Шолохов Михаил Александрович;Речь;5168;/books/616505/
147;Записки охотника;Тургенев Иван Сергеевич;Рипол-Классик;3178;/books/906587/
148;Сестры озерных вод;Птицева Ольга;Popcorn Books;720;/books/945912/
149;Мотель «Вечерняя заря»;Сент-Джеймс Симона;Синдбад;655;/books/952643/
150;Утренняя звезда;Браун Пирс;Азбука;495;/books/952908/
151;Убить королеву;Бекер Вирджиния;Аркадия;282;/books/768331/
152;Семь престолов;Струкул Маттео;Аркадия;394;/books/785222/
153;Королевство крыльев и руин;Маас Сара Дж.;Азбука;918;/books/914292/
154;Полное собрание романов, повестей, рассказов в одном томе;Булгаков Михаил Афанасьевич;Альфа-книга;854;/books/170798/
155;Смерть дублера;Стаут Рекс;Иностранка;855;/books/951803/
156;Дикий, дикий Запад;Демина Карина;АСТ;533;/books/954870/
157;Карты. Нечисть. Безумие. Рассказы русских писателей;Гоголь, Лермонтов, Брюсов;Эксмо;973;/books/930963/
158;Замок Броуди;Кронин Арчибалд Джозеф;Иностранка;843;/books/532907/
